currency_code,currency_name,exchange_rate,date
SRD,Surinamese Dollar,38.61845824,1721142002
SSP,South Sudanese Pound,2851.83714602,1721142002
STN,São Tomé and Príncipe Dobra,29.16368965,1721142002
SYP,Syrian Pound,16585.52019726,1721142002
SZL,Eswatini Lilangeni,23.48004163,1721142002
THB,Thai Baht,46.75602641,1721142002
TJS,Tajikistani Somoni,13.83907452,1721142002
TMT,Turkmenistan Manat,4.53674265,1721142002
TND,Tunisian Dinar,4.02601339,1721142002
TOP,Tongan Paʻanga,3.01604726,1721142002
TRY,Turkish Lira,42.86132075,1721142002
TTD,Trinidad and Tobago Dollar,9.05402194,1721142002
TVD,Tuvaluan Dollar,1.92391133,1721142002
TWD,New Taiwan Dollar,42.28570345,1721142002
TZS,Tanzanian Shilling,3461.75254092,1721142002
UAH,Ukrainian Hryvnia,53.50973322,1721142002
UGX,Ugandan Shilling,4783.3515186,1721142002
USD,United States Dollar,1.29567266,1721142002
UYU,Uruguayan Peso,52.00998813,1721142002
UZS,Uzbekistani So'm,16336.56694422,1721142002
VES,Venezuelan Bolívar Soberano,47.29484793,1721142002
VND,Vietnamese Đồng,32902.14728603,1721142002
VUV,Vanuatu Vatu,154.75483947,1721142002
WST,Samoan Tālā,3.50466707,1721142002
XAF,Central African CFA Franc,780.8214845,1721142002
XCD,East Caribbean Dollar,3.49871391,1721142002
XDR,Special Drawing Rights,0.97718179,1721142002
XOF,West African CFA franc,780.8214845,1721142002
XPF,CFP Franc,142.04740461,1721142002
YER,Yemeni Rial,324.37626632,1721142002
ZAR,South African Rand,23.47610453,1721142002
ZMW,Zambian Kwacha,33.64553059,1721142002
ZWL,Zimbabwean Dollar,18.2751,1721142002
